assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1999-10-22T03:00:00.000000000Z,256.5,257.0,256.25,257.0
Wc1,1999-10-22T04:00:00.000000000Z,257.5,257.5,257.5,257.5
Wc1,1999-10-22T05:00:00.000000000Z,257.0,257.5,257.0,257.5
Wc1,1999-10-22T09:00:00.000000000Z,257.0,257.0,256.25,256.25
Wc1,1999-10-22T14:00:00.000000000Z,255.5,256.75,255.0,256.0
Wc1,1999-10-22T15:00:00.000000000Z,255.75,258.0,255.75,257.75
Wc1,1999-10-22T16:00:00.000000000Z,258.0,259.5,258.0,259.5
Wc1,1999-10-22T17:00:00.000000000Z,259.75,259.75,257.25,257.75
Wc1,1999-10-22T18:00:00.000000000Z,258.0,258.5,257.25,258.0
Wc1,1999-10-25T02:00:00.000000000Z,257.5,259.0,257.5,258.25
Wc1,1999-10-25T03:00:00.000000000Z,258.75,259.25,258.75,259.25
Wc1,1999-10-25T05:00:00.000000000Z,259.75,260.0,259.75,260.0
Wc1,1999-10-25T08:00:00.000000000Z,259.5,259.5,259.5,259.5
Wc1,1999-10-25T14:00:00.000000000Z,258.0,261.5,258.0,261.0
Wc1,1999-10-25T15:00:00.000000000Z,261.25,262.5,260.25,260.75
Wc1,1999-10-25T16:00:00.000000000Z,260.5,261.25,259.75,259.75
Wc1,1999-10-25T17:00:00.000000000Z,260.0,261.5,259.0,261.5
Wc1,1999-10-25T18:00:00.000000000Z,261.75,262.25,261.5,262.0
Wc1,1999-10-26T02:00:00.000000000Z,262.5,263.0,262.25,262.5
Wc1,1999-10-26T03:00:00.000000000Z,262.75,262.75,262.5,262.75
Wc1,1999-10-26T06:00:00.000000000Z,262.25,262.25,262.25,262.25
Wc1,1999-10-26T07:00:00.000000000Z,262.5,262.75,262.5,262.75
Wc1,1999-10-26T14:00:00.000000000Z,262.5,266.0,262.5,264.25
Wc1,1999-10-26T15:00:00.000000000Z,264.5,265.0,263.5,264.0
Wc1,1999-10-26T16:00:00.000000000Z,264.25,264.5,263.5,263.75
Wc1,1999-10-26T17:00:00.000000000Z,263.5,263.75,258.0,259.0
Wc1,1999-10-26T18:00:00.000000000Z,259.25,259.25,256.5,256.75
